ref,category,aisle,kcal,protein_g,carbs_g,fat_g,fibre_g,sugars_g,salt_g,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,selenium,iodine,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folate,pantothenic_acid,vitamin_c,vitamin_d,vitamin_e,cholesterol,saturated_fat
10533,Various/Gelling and binding agents,GROCERY,160,2.4,0,0.2,74.1,,0.3,130,52,660,100,34,4.5,1.5,,,,,,,,,,,,,,,
10536,Sweets/Sugar and sweeteners,GROCERY,310,0.1,76.2,0.5,0.2,68,0,4,4,1,1,1,0.1,0,1.7,,8,0.12,0.17,0.23,0,0.69,30,,17,,0.98,0,0
273,"Nuts, seeds and oleaginous fruit",GROCERY,624,25.6,7.8,52.1,10.6,6.6,0,1.1,740,270,240,510,3.3,3.3,2.2,0.2,0,0.15,0.94,0.13,0,1.88,55.9,0.48,0,0,25.44,0,4.3
14113,Plant based protein foods and alternaives to animal products/Plant based drinks,DAIRY,33,1.1,1.3,2.6,0.3,1.3,0.1,36,34,12,9.5,16,0.1,0.1,0.2,0.4,0,0.01,0.02,0,0,0.16,1.9,0.02,0,0,0.86,0,0.2
14131,Plant based protein foods and alternaives to animal products/Plant based drinks,DAIRY,33,1.1,1.3,2.6,0.3,1.3,0.1,36,34,110,9.5,43,0.1,0.1,0.2,0.4,0,0.01,0.2,0,0.36,0.16,1.9,0.02,0,0.7,1.71,0,0.2
278,"Savoury snacks/Salted nuts, seeds and kernels",GROCERY,637,25.4,10.1,52.5,10.9,4.9,0.6,230,710,270,280,470,3.7,3.3,2,2.4,0,0.08,1.2,0.14,0,3.64,55,0.32,0,0,23.9,0,4.1
269,"Savoury snacks/Salted nuts, seeds and kernels",GROCERY,649,25.6,7.2,55.2,10.5,4.6,0.8,330,670,240,270,470,3.3,3.1,2,2.4,0,0.09,0.78,0.12,0,3.67,27,0.23,0,0,26,0,4.2
13398,"Cereal products, pulses and potatoes/Other cereal products",GROCERY,119,5,18.1,2.1,3.5,0.5,0,1.9,150,58,84,180,3,1.2,,0.8,0,0.02,0.06,0.11,0,0.34,16.2,0.27,1,0,0.4,0,0.4
13397,"Cereal products, pulses and potatoes/Other cereal products",GROCERY,376,15.8,56.8,7,11,1.7,0,4,480,160,250,560,9,3.7,,2.5,0,0.08,0.19,0.53,0,1.2,64.3,0.95,4.2,0,1.19,0,1.5
868,Sweets/Cookies/Biscuits,GROCERY,464,8.8,76.7,13,2.6,76.4,0.1,42,220,69,62,130,0.9,0.8,3.2,1.7,0,0.04,0.31,0.04,0.07,0.48,15,0.17,0.1,0,6.33,0,1.1
14295,Sweets/Cookies/Biscuits,GROCERY,464,12.4,53.5,21.3,4.3,53,0.1,33,330,110,100,210,1.4,1.4,2.9,1.4,0,0.06,0.45,0.06,0.06,0.78,23.8,0.24,0.2,0,10.41,0,1.8
10532,Various/Spreads,GROCERY,272,19.8,0.2,21.3,0,0.1,19,7720,190,220,170,210,2.1,1.3,6,25,10,0.03,0.19,0.28,15.68,2.93,12,0.47,0.4,1.3,5.19,57,4.1
554,Milk and dairy products/Hard cheese,DAIRY,235,33.1,0,11.4,0,0,2,810,120,1090,36,730,0.2,2.5,6.8,35,136,0.04,0.5,0.07,1.3,0.1,15,0.54,0,0.3,0.36,34,6.8
553,Milk and dairy products/Hard cheese,DAIRY,383,24.3,0,31.7,0,0,1.6,620,82,740,29,540,0.3,4,8,8.4,366,0.04,0.36,0.07,1.06,0.1,15,0.33,0,0.5,0.95,95,19
568,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,PRODUCE,48,0.2,11.4,0.1,0.2,10.9,0,13,110,4.3,4.6,6.6,0.3,0,0.1,1,1,0.01,0,0.04,0,0.04,6.8,0.05,7.1,0,0,0,0
1480,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",GROCERY,162,2.9,20.5,7.3,1.5,10.4,0.2,98,140,21,11,48,0.4,0.3,2.2,3.8,11,0.04,0.05,0.06,0.08,0.12,7.6,0.24,5.4,0.2,0.74,20,3.3
1479,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",GROCERY,160,2.7,19.7,7.5,1.4,10.4,0.3,120,130,20,8.3,38,0.2,0.2,2.1,3.8,11,0.03,0.04,0.04,0.08,0.11,7.1,0.22,5.4,0.2,0.78,20,3.3
378,Fruit/Fresh fruit,PRODUCE,52,0.3,11.6,0.3,1.4,11.5,0,1.5,120,5.3,6.5,14,0.1,0.1,0.7,0.8,2,0.01,0.01,0.04,0,0.08,6,0.08,7.2,0,0.09,0,0.1
435,Fruit/Dried fruit,PRODUCE,264,1.4,55.4,1.6,11.2,50,0,10,620,30,23,50,1.2,0.2,0.5,4.1,0,0.04,0.03,0.12,0,0.48,14,0.28,1.8,0,1.57,0,0.7
1049,Fruit/Cooked fruit (incl. cans),PRODUCE,56,0.3,12.2,0.3,1.5,12.1,0,1.2,94,6.7,6.8,15,0.1,0.1,0.9,1.1,2,0.01,0.01,0.04,0,0.09,4,0.09,3.8,0,0.12,0,0.1
627,Fruit/Cooked fruit (incl. cans),PRODUCE,89,0.3,20.5,0.3,1.9,20.4,0,3.6,97,4.4,3.6,8.1,0.2,0.1,,0.7,,0.02,0.02,0.04,0,0.08,5.9,0.08,2.3,0,0.34,0,0.1
628,Fruit/Cooked fruit (incl. cans),PRODUCE,55,0.3,11.7,0.3,2.1,11.6,0,4,110,4.8,4,9,0.2,0.1,,0.8,,0.02,0.02,0.05,0,0.09,6.5,0.09,2.5,0,0.43,0,0.1
621,Fruit/Cooked fruit (incl. cans),PRODUCE,62,0.9,13.7,0.1,1.4,13.3,0,9.7,140,18,4.9,11,0.1,0.1,0.2,0.5,77,0.02,0,0.02,0,0.11,6.9,0.12,2.2,0,0.45,0,0
1482,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",GROCERY,156,3.3,18.6,7.2,1.7,6.9,0.2,97,240,28,13,53,0.5,0.3,2.2,3.6,132,0.04,0.05,0.07,0.08,0.33,7.3,0.31,2.7,0.2,1.15,20,3.2
