ref,locale,name,normalised
10533,en,Agar Agar,agar agar
10533,fr,Agar Agar,agar agar
10533,de,Agar Agar,agar agar
10536,en,Agave syrup,agave syrup
10536,fr,Sirop d'agave,sirop d agave
10536,de,Agavensirup,agavensirup
10536,de,Agavendicksaft,agavendicksaft
273,en,Almond,almond
273,fr,Amande,amande
273,de,Mandel,mandel
14113,en,"Almond drink, plain",almond drink plain
14113,fr,"Boisson à base d'amande, nature",boisson a base d amande nature
14113,de,"Mandelgetränk, nature",mandelgetrank nature
14131,en,"Almond drink, plain, with calcium and vitamin fortified",almond drink plain with calcium and vitamin fortified
14131,fr,"Boisson à base d'amande, nature, enrichie en calcium et vitamines",boisson a base d amande nature enrichie en calcium et vitamines
14131,de,"Mandelgetränk, nature, mit Calcium und Vitaminen angereichert",mandelgetrank nature mit calcium und vitaminen angereichert
278,en,"Almond, dry roasted, salted",almond dry roasted salted
278,fr,"Amande, grillée sans graisse, salée",amande grillee sans graisse salee
278,de,"Mandel, geröstet ohne Fett, gesalzen",mandel gerostet ohne fett gesalzen
269,en,"Almond, roasted, salted",almond roasted salted
269,fr,"Amande, grillée, salée",amande grillee salee
269,de,"Mandel, geröstet, gesalzen",mandel gerostet gesalzen
13398,en,"Amaranth, seed, cooked (without addition of fat and salt)",amaranth seed cooked without addition of fat and salt
13398,fr,"Amarante, grain, cuit (sans adjonction de graisse ni de sel)",amarante grain cuit sans adjonction de graisse ni de sel
13398,de,"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)",amaranth samen gekocht ohne zugabe von fett und salz
13397,en,"Amaranth, seed, raw",amaranth seed raw
13397,fr,"Amarante, grain, cru",amarante grain cru
13397,de,"Amaranth, Samen, roh",amaranth samen roh
868,en,Amaretti (hard),amaretti hard
868,fr,Amaretti (durs),amaretti durs
868,de,Amaretti (hart),amaretti hart
14295,en,Amaretti (soft),amaretti soft
14295,fr,Amaretti (moelleux),amaretti moelleux
14295,de,Amaretti (weich),amaretti weich
10532,en,Anchovis paste,anchovis paste
10532,fr,Crème d'anchois,creme d anchois
10532,de,Sardellenpaste,sardellenpaste
554,en,"Appenzeller, at least 15% fidm",appenzeller at least 15 fidm
554,fr,"Appenzeller, quart-gras",appenzeller quart gras
554,de,"Appenzeller, viertelfett",appenzeller viertelfett
553,en,"Appenzeller, at least 45% fidm",appenzeller at least 45 fidm
553,fr,"Appenzeller, gras",appenzeller gras
553,de,"Appenzeller, vollfett",appenzeller vollfett
568,en,Apple juice,apple juice
568,fr,Jus de pomme,jus de pomme
568,de,Apfelsaft,apfelsaft
568,de,Süssmost,sussmost
1480,en,"Apple pie, homemade, baked (with cake dough)",apple pie homemade baked with cake dough
1480,fr,"Tarte aux pommes, faite maison, cuite au four (pâte brisée)",tarte aux pommes faite maison cuite au four pate brisee
1480,de,"Apfelwähe/-kuchen, hausgemacht, gebacken (mit Kuchenteig)",apfelwahe kuchen hausgemacht gebacken mit kuchenteig
1480,de,Apfelwähe,apfelwahe
1479,en,"Apple pie, homemade, baked (with puff pastry)",apple pie homemade baked with puff pastry
1479,fr,"Tarte aux pommes, faite maison, cuite au four (pâte feuilletée)",tarte aux pommes faite maison cuite au four pate feuilletee
1479,de,"Apfelwähe/-kuchen, hausgemacht, gebacken (mit Blätterteig)",apfelwahe kuchen hausgemacht gebacken mit blatterteig
1479,de,Apfelwähe,apfelwahe
378,en,"Apple, fresh",apple fresh
378,fr,"Pomme, crue",pomme crue
378,de,"Apfel, roh",apfel roh
435,en,"Apple, peeled, dried",apple peeled dried
435,fr,"Pomme, pelée, sechée",pomme pelee sechee
435,de,"Apfel, geschält, getrocknet",apfel geschalt getrocknet
435,de,Dörrapfel,dorrapfel
1049,en,"Apple, stewed, drained (without addition of sugar)",apple stewed drained without addition of sugar
